Date,Time,SM_2,SM_4,SM_8,SM_20,SM_40,ST_2,ST_4,ST_8,ST_20,ST_40,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
01-01-2022,00:00,38.2,35.9,31,36.9,34,15.9,15.5,15.5,14.6,14.3,21.6,21.6,18.9,84.5,0,0,,0,0,,22.3,195,1009.4,100,16,0,0,0,,Overcast,cloudy,"KHSV,72323003856,72030763804,KMDQ,AAMA1"
01-01-2022,01:00,38.2,36,30.9,36.7,34.1,16,15.6,15.6,14.7,14.3,21.6,21.6,18.9,84.97,0,0,,0,0,43.2,27.7,205,1009.3,91.7,16,0,0,0,,Overcast,cloudy,"KHSV,72323003856,72030763804,KMDQ,AAMA1"
01-01-2022,02:00,38.3,36,31,36.7,33.9,16,15.6,15.6,14.7,14.3,21.2,21.2,18.9,86.87,0,0,,0,0,35.3,22.8,200,1009.3,62.7,16,0,0,0,,Partially cloudy,partly-cloudy-night,"KHSV,72323003856,72030763804,KMDQ,AAMA1"
01-01-2022,03:00,38.3,35.8,30.9,36.7,33.9,16.1,15.7,15.6,14.7,14.3,21.2,21.2,18.9,86.66,0,0,,0,0,,22.8,207,1009.3,91.7,16,0,0,0,,Overcast,cloudy,"KHSV,72323003856,72030763804,KMDQ,AAMA1"
01-01-2022,04:00,38.3,35.9,30.9,36.7,33.9,16.2,15.7,15.7,14.7,14.3,21.6,21.6,18.9,84.5,0,0,,0,0,33.5,19.8,207,1009.6,100,16,0,0,0,,Overcast,cloudy,"KHSV,72323003856,72030763804,KMDQ"
01-01-2022,05:00,38.3,35.9,31,36.8,33.9,16.2,15.8,15.7,14.7,14.3,21.2,21.2,18.9,86.73,0,0,,0,0,,13.5,205,1009.7,91.7,16,0,0,0,,Overcast,cloudy,"KHSV,72323003856,72030763804,KMDQ,AAMA1"
01-01-2022,06:00,38.3,35.9,31,36.8,33.9,16.2,15.8,15.8,14.7,14.3,21.1,21.1,18.9,86.93,0.063,100,rain,0,0,,16.2,197,1009.4,62.7,16,0,0,0,,"Rain, Partially cloudy",rain,"KHSV,72323003856,72030763804,KMDQ,AAMA1"
01-01-2022,07:00,38.3,36,31,36.8,33.9,16.2,15.8,15.8,14.8,14.3,20.6,20.6,18.4,87.58,0,0,,0,0,,17,190,1009.4,62.7,16,7,0,0,,Partially cloudy,partly-cloudy-day,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,08:00,38.2,35.8,30.8,36.8,33.9,16.3,15.9,15.8,14.8,14.3,21.5,21.5,18.9,85.16,0,0,,0,0,,19.1,197,1009.3,91.7,16,47,0.2,0,,Overcast,cloudy,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,09:00,38.3,35.8,30.8,36.8,33.8,16.3,15.9,15.8,14.8,14.3,22.1,22.1,18.9,81.77,0,0,,0,0,37.5,27.8,205,1009.5,91.7,16,65,0.2,1,,Overcast,cloudy,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,10:00,38.4,35.7,31,36.6,33.9,16.5,15.9,15.9,14.8,14.3,23.4,23.4,18.9,75.86,0,0,,0,0,51.8,31.5,200,1009.2,91.7,16,208,0.7,2,,Overcast,cloudy,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,11:00,38.4,35.5,30.8,36.6,33.9,16.7,15.9,16,14.8,14.3,24.4,24.4,18.3,69.01,0,0,,0,0,48.3,39.5,215,1008.4,91.7,16,363,1.3,4,,Overcast,cloudy,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,12:00,38.5,35.4,30.7,36.7,33.9,17,16,16.1,14.9,14.3,24.2,24.2,18.6,70.84,0,0,,0,0,51.3,32.1,220,1007.3,91.7,16,245,0.9,2,,Overcast,cloudy,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,13:00,38.4,35.5,30.7,36.7,33.9,17.2,16.1,16.2,14.9,14.4,25.1,25.1,17.9,64.21,0,0,,0,0,54.4,33.1,210,1005.7,79,16,323,1.2,3,,Partially cloudy,partly-cloudy-day,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,14:00,38.4,35.4,30.8,36.7,33.9,17.3,16.3,16.3,14.9,14.4,26.1,26.1,17.9,60.56,0,0,,0,0,55.8,39.5,203,1004.7,79,16,220,0.8,2,,Partially cloudy,partly-cloudy-day,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,15:00,38.3,35.5,30.8,36.6,33.9,17.4,16.4,16.5,14.9,14.4,24.1,24.1,18,69.08,0,0,,0,0,52.3,29.7,207,1004.3,97.2,16,69,0.2,1,,Overcast,cloudy,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,16:00,38.2,35.4,30.6,36.6,33.9,17.4,16.5,16.6,14.9,14.4,24.1,24.1,18.4,70.3,0,0,,0,0,37.1,25.9,190,1003.3,88.9,16,61,0.2,1,,Partially cloudy,partly-cloudy-day,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,17:00,38.1,35.4,30.7,36.8,33.9,17.4,16.6,16.6,15,14.4,23.9,23.9,18.3,70.94,0,0,,0,0,45,26.8,197,1003.2,91.7,16,15,0.1,0,,Overcast,cloudy,"D9186,KHSV,72323003856,72030763804,KMDQ"
01-01-2022,18:00,38,35.4,30.6,36.8,33.9,17.4,16.6,16.7,15,14.4,23.9,23.9,18.3,70.78,0,0,,0,0,53.3,40.2,197,1002.8,100,16,0,0,0,,Overcast,cloudy,"KHSV,72323003856,STAA1,72030763804,KMDQ"
01-01-2022,19:00,43,42.2,37.9,51.8,33.9,17.3,17,16.9,15.3,14.4,18.5,18.5,16.4,87.37,1.553,100,rain,0,0,51.8,13,343,1003.6,100,13.5,0,0,0,,"Rain, Overcast",rain,"KHSV,72323003856,72030763804,KMDQ,AAMA1"
01-01-2022,20:00,44,44,41.6,51.9,57.4,16.8,16.9,17.1,15.8,14.5,14.4,14.4,13.9,96.81,32.5,100,rain,0,0,,24.1,360,1005.4,100,4,0,0,0,,"Rain, Overcast",rain,"72030763804,KMDQ,AAMA1"
01-01-2022,21:00,42.9,42.1,36.7,41.1,36.9,16.3,16.6,16.9,15.9,14.5,14.9,14.9,14.7,98.37,11.714,100,rain,0,0,,11.6,65,1004.2,100,16,0,0,0,,"Rain, Overcast",rain,"KHSV,72323003856,72030763804,KMDQ"
01-01-2022,22:00,44.3,43.8,38.6,51.8,51.5,15.9,16.4,16.7,16.1,14.5,14.3,14.3,13.8,96.89,7.173,100,rain,0,0,,21.4,53,1004.8,100,8.5,0,0,0,,"Rain, Overcast",rain,"KHSV,72323003856,72030763804,KMDQ"
01-01-2022,23:00,42.7,41.1,36.1,40.5,36.7,15.7,16.1,16.5,15.9,14.5,14.4,14.4,14.2,98.94,3.657,100,rain,0,0,,8.4,25,1005.2,100,14.7,0,0,0,,"Rain, Overcast",rain,"KHSV,72323003856,72030763804,KMDQ,AAMA1"
02-01-2022,00:00,41.7,40.5,34.4,39.9,36.6,15.7,16,16.4,15.8,14.5,14.3,14.3,14.3,100,4.565,100,rain,0,0,,7,110,1005.4,100,13.5,0,0,0,,"Rain, Overcast",rain,"KHSV,72323003856,72030763804,KMDQ"
02-01-2022,01:00,41.4,39.7,33.9,39.4,36.2,15.7,16,16.3,15.7,14.5,14.4,14.4,14.3,99.67,0,0,,0,0,,8.4,243,1006.7,100,16,0,0,0,,Overcast,cloudy,"KHSV,72323003856,72030763804,KMDQ"
02-01-2022,02:00,41.1,39.4,33.4,39.4,35.9,15.6,15.9,16.2,15.6,14.5,14.4,14.4,14.3,99.51,0,0,,0,0,,9.4,290,1007.2,100,16,0,0,0,,Overcast,cloudy,"KHSV,72323003856,72030763804,KMDQ"
02-01-2022,03:00,40.7,39.1,33.3,39,35.7,15.6,15.8,16.1,15.6,14.5,14.4,14.4,14.3,99.51,0.127,100,rain,0,0,,11.2,297,1008.2,100,16,0,0,0,,"Rain, Overcast",rain,"KHSV,72323003856,72030763804,KMDQ"
02-01-2022,04:00,40.6,38.8,33.2,38.9,35.6,15.5,15.8,16,15.6,14.5,14.4,14.4,14.3,99.42,0,0,,0,0,,4,275,1008.1,100,16,0,0,0,,Overcast,cloudy,"KHSV,72323003856,72030763804,KMDQ"
02-01-2022,05:00,40.4,38.6,33.1,38.7,35.6,15.4,15.7,16,15.6,14.5,14.4,14.4,14.3,99.42,0,0,,0,0,,9.8,287,1009.1,100,16,0,0,0,,Overcast,cloudy,"KHSV,72323003856,72030763804,KMDQ"
